fulcrum_id,latitude,longitude,name_of_surveyor,date_of_survey,type_of_disaster,site_id,project,photos,photos_caption,photos_url,total_damage_rating,gps_pin,street_address_sub_thoroughfare,street_address_thoroughfare,street_address_suite,street_address_locality,street_address_sub_admin_area,street_address_admin_area,street_address_postal_code,street_address_country,street_address_full,building_use,building_use_other,number_of_stories,age_yrs,attached_garage,roof_shape,roof_shape_other,roof_cover_format,roof_cover_format_other,roof_cover_material,roof_cover_material_other,roof_framing,roof_framing_other,structural_wall,structural_wall_other,wall_covercladding,wall_covercladding_other,structure_elevated,height_above_grade,shuttersstorm_panels,hurricane_clips,damage_cause,damage_cause_other,roof_cover_dmg,roof_sheathing_dmg,roof_framing_dmg,wall_cover_dmg,wall_sheathing_dmg,wall_framingstructure_dmg,windows_dmg,garage_door_dmg,patio_doors_dmg,entry_doors_dmg,structure_usable,notes,qc_id,qc_code,qc_notes
6a5c5d32-6609-44d0-898f-e56bf0615dfc,27.90150854,-97.14689998,Thang Dao,9/15/2017,Hurricane,HH-091517-S0001-TD,CMMI-1266418,"201e3d5f-f6e2-47b6-b505-7400b7160fa7,1eeac2c4-90ab-428b-86ed-595960d04b49,0837bd1d-a617-45a4-bb68-31e7b7fb15ee,149b8259-e312-4a12-a72d-3750b4ad1d65",",,,",https://web.fulcrumapp.com/photos/view?photos=201e3d5f-f6e2-47b6-b505-7400b7160fa7%2C1eeac2c4-90ab-428b-86ed-595960d04b49%2C0837bd1d-a617-45a4-bb68-31e7b7fb15ee%2C149b8259-e312-4a12-a72d-3750b4ad1d65,2=Moderate,,462,S Commercial St,,Aransas Pass,San Patricio,TX,78336,US,462 S Commercial St Aransas Pass San Patricio TX 78336 US,Single Family,,1,50,yes,Hip,,Shingles,,Asphalt,,Wood,,Wood Frame,,Stucco,,yes,,yes,yes,Wind,,25%,0%,0%,0%,0%,0%,0%,yes,no,no,yes,n/a,BW,2b,Can not confirm true location of the house
976e05a5-d3e4-4095-929a-2deb64892f88,27.897039,-97.144254,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0001-DA,CMMI-1266418,"3ca23445-9ae9-477e-94c6-926ab2b6262a,bc69b890-c2c4-4b79-a605-ff7eb22f8869,42065794-0d87-49d9-b90a-29ef276d8547,dbd13a49-068f-4005-889c-ffba021998f3,7825f387-cd4e-49ca-8d19-d9a7fddcd572,87cd1839-3b54-4cb2-86a7-2fd318c0d1ba,d28fe395-feb9-42be-9e09-9427794dd3ad,91adee4b-6161-4e80-a581-3bc314db9d9a,6cb5b5e5-9079-4385-beee-32536cce5fa0",",,,,,,,,",https://web.fulcrumapp.com/photos/view?photos=3ca23445-9ae9-477e-94c6-926ab2b6262a%2Cbc69b890-c2c4-4b79-a605-ff7eb22f8869%2C42065794-0d87-49d9-b90a-29ef276d8547%2Cdbd13a49-068f-4005-889c-ffba021998f3%2C7825f387-cd4e-49ca-8d19-d9a7fddcd572%2C87cd1839-3b54-4cb2-86a7-2fd318c0d1ba%2Cd28fe395-feb9-42be-9e09-9427794dd3ad%2C91adee4b-6161-4e80-a581-3bc314db9d9a%2C6cb5b5e5-9079-4385-beee-32536cce5fa0,0=No Damage,,107,Dolphin Ct,,Aransas Pass,San Patricio,TX,78336,US,107 Dolphin Ct Aransas Pass San Patricio TX 78336 US,Single Family,,1,20,yes,"Gable,Hip",,Shingles,,Asphalt,,Wood,,Wood Frame,,Stucco,,no,,yes,n/a,,,0%,0%,0%,0%,0%,0%,0%,no,no,no,yes,House did great due to measures taken. Premium Owen Corning Hurricane rated shingles hand nailed.,BW,2a,"Confirmed construction and damage information. Consolidated records from TD, SC, and DL"
1a55d2eb-7849-4ac0-8c51-21d0ceb5ba0e,27.83807,-97.066805,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0002-DA,CMMI-1266418,"47ba7052-5115-4cd0-b3a4-80215bb1d8b0,21ec40d0-8301-4cf2-a4e0-ebe5621a73a1,61fb2df1-b32e-4bbb-818d-3c114d7c7e70,32318bc3-c589-49a9-8fb2-f4b5fb184f25,8268677c-2f68-47f6-bcca-092cb7e02a47,6c8b53ec-dbbe-43b8-bc6a-40594ed80c2c,f689a8d4-8d1a-40c5-b8d9-b44a6d1c77ab,c8f10a32-a508-4999-9066-c04c1caa0ba8,a816768f-728d-4e2c-9cd0-94620e75fc31,062856da-d61a-4d9d-8ba2-8a1f32455e2e,f8ac8224-8a4e-4185-a433-95c6e4fad350,8b286857-e4bb-4e3c-883a-c017853651a3,2a54c079-a60d-4060-919d-e4568558abd0,925d0ff0-244f-4593-9875-74831df1e8a7,ede51942-f58f-479d-b0bf-6c42862a5f12,efa869b5-cb6a-49c5-9f7d-7c27c7034374",",,,,,,,,,,,,,,,",https://web.fulcrumapp.com/photos/view?photos=47ba7052-5115-4cd0-b3a4-80215bb1d8b0%2C21ec40d0-8301-4cf2-a4e0-ebe5621a73a1%2C61fb2df1-b32e-4bbb-818d-3c114d7c7e70%2C32318bc3-c589-49a9-8fb2-f4b5fb184f25%2C8268677c-2f68-47f6-bcca-092cb7e02a47%2C6c8b53ec-dbbe-43b8-bc6a-40594ed80c2c%2Cf689a8d4-8d1a-40c5-b8d9-b44a6d1c77ab%2Cc8f10a32-a508-4999-9066-c04c1caa0ba8%2Ca816768f-728d-4e2c-9cd0-94620e75fc31%2C062856da-d61a-4d9d-8ba2-8a1f32455e2e%2Cf8ac8224-8a4e-4185-a433-95c6e4fad350%2C8b286857-e4bb-4e3c-883a-c017853651a3%2C2a54c079-a60d-4060-919d-e4568558abd0%2C925d0ff0-244f-4593-9875-74831df1e8a7%2Cede51942-f58f-479d-b0bf-6c42862a5f12%2Cefa869b5-cb6a-49c5-9f7d-7c27c7034374,3=Severe,,412,W Cotter Ave,,Port Aransas,Nueces,TX,78373,US,412 W Cotter Ave Port Aransas Nueces TX 78373 US,Single Family,,3,33,yes,"Gable,Complex",,Shingles,,Asphalt,,Wood,,Wood Frame,,Brick Veneer,,no,,no,n/a,Wind,,25%,0%,0%,50%,25%,0%,0%,yes,n/a,no,yes,"Soft story behavior at garage walls. No shear wall next to garage doors and nailing of sheathing was sporadic and spaced about 16""oc",BW,2a,Confirmed construction and damage information. Consolidated 2 other entries
80bafbe0-8822-4c6d-9737-032db77749c0,27.837425,-97.066167,Thang Dao,9/15/2017,Hurricane,HH-091517-S0003-TD,CMMI-1266418,"558c00d8-e9d0-4240-a9e4-20c68222d99e,91b45e11-4ba1-466a-b626-0cadbfda2d3f",",",https://web.fulcrumapp.com/photos/view?photos=558c00d8-e9d0-4240-a9e4-20c68222d99e%2C91b45e11-4ba1-466a-b626-0cadbfda2d3f,3=Severe,,347,W Cotter Ave,,Port Aransas,Nueces,TX,78373,US,347 W Cotter Ave Port Aransas Nueces TX 78373 US,Business,,2,,no,Flat,,Panels,,Metal,,Metal Joist,,CF Steel,,Stucco,,no,,no,no,"Wind,Surge",,0%,0%,0%,50%,50%,25%,100%,n/a,yes,yes,no,n/a,BW,2a,Age unavailable
c85dd1b6-b8cc-4050-817f-808b8b33dd17,27.838118,-97.066531,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0003-DA,CMMI-1266418,"ddb4760d-f857-422b-8b12-b6ee485d6814,2cd8ae88-5cfd-451e-a68b-4f9db382810a",",",https://web.fulcrumapp.com/photos/view?photos=ddb4760d-f857-422b-8b12-b6ee485d6814%2C2cd8ae88-5cfd-451e-a68b-4f9db382810a,1=Minor,,404,W Cotter Ave,,Port Aransas,Nueces,TX,78373,US,404 W Cotter Ave Port Aransas Nueces TX 78373 US,Single Family,,3,13,yes,Hip,,Panels,,Metal,,Wood,,Wood Frame,,Hardie Board Siding,,no,,yes,n/a,Wind,,25%,0%,0%,25%,0%,0%,0%,no,no,no,yes,Air borne debris caused siding damage,BW,2a,Confirmed construction and damage information
b9063b02-979e-42fc-a83e-a4c34c1599b4,27.83229,-97.06696,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0004-DA,CMMI-1266418,"828696d4-cd00-42b3-91bf-336f75a05e95,c9526176-76ce-4c93-be41-2a25918435a0,3380518a-57d3-424f-bf4c-7e7b2bbe2b1c,b78e3a65-4ea7-4363-8ed6-89292347ae0a,7555c3ec-f25f-4762-80b9-e9e465e6a271",",,,,",https://web.fulcrumapp.com/photos/view?photos=828696d4-cd00-42b3-91bf-336f75a05e95%2Cc9526176-76ce-4c93-be41-2a25918435a0%2C3380518a-57d3-424f-bf4c-7e7b2bbe2b1c%2Cb78e3a65-4ea7-4363-8ed6-89292347ae0a%2C7555c3ec-f25f-4762-80b9-e9e465e6a271,2=Moderate,,313,S 7th St,,Port Aransas,Nueces,TX,78373,US,313 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,32,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,yes,10,no,yes,Wind,,50%,0%,0%,0%,0%,0%,0%,n/a,n/a,no,yes,n/a,BW,2a,Updated damage level from Minor to Moderate
def06a41-1dd5-4686-aefe-549d28ef0f0d,27.83253377,-97.06689069,Thang Dao,9/15/2017,Hurricane,HH-091517-S0004-TD,CMMI-1266418,109add0d-22dd-4604-9cae-6f83d6df4abc,,https://web.fulcrumapp.com/photos/view?photos=109add0d-22dd-4604-9cae-6f83d6df4abc,0=No Damage,,305,S 7th St,,Port Aransas,Nueces,TX,78373,US,305 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,13,no,Gable,,Panels,,Metal,,Wood,,Wood Frame,,Stucco,,yes,12,no,yes,,,0%,0%,0%,0%,0%,0%,0%,n/a,n/a,no,yes,n/a,BW,2a,Confirmed construction and damage information
fbb57053-bb35-432e-a32c-0e3ec3ac50d9,27.83216,-97.067041,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0005-DA,CMMI-1266418,"a497008e-981d-423f-84d9-2c02b95a58ab,25942f1a-14db-436d-a104-09a1324ef94b",",",https://web.fulcrumapp.com/photos/view?photos=a497008e-981d-423f-84d9-2c02b95a58ab%2C25942f1a-14db-436d-a104-09a1324ef94b,2=Moderate,,321,S 7th St,,Port Aransas,Nueces,TX,78373,US,321 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,37,no,Flat,,Continuous Surface,,Asphalt,,Wood,,Wood Frame,,Vinyl Siding,,yes,10,yes,n/a,Wind,,0%,0%,0%,50%,0%,0%,0%,n/a,n/a,no,yes,n/a,BW,2a,Updated construction and damage information
dc77ba87-db5b-4120-9195-55844dc65ee4,27.830528,-97.069096,Steve Cai,9/15/2017,Hurricane,HH-091517-S0003-SC,CMMI-1266418,"0fc49213-5197-4c37-a5b9-124d7c393473,b343f2c7-0423-43b6-8331-a80840bb34e1",",",https://web.fulcrumapp.com/photos/view?photos=0fc49213-5197-4c37-a5b9-124d7c393473%2Cb343f2c7-0423-43b6-8331-a80840bb34e1,2=Moderate,,606,S 7th St,,Port Aransas,Nueces,TX,78373,US,606 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,44,no,Gable,,Shingles,,Asphalt,,Wood,,Structural Steel,,Hardie Board Siding,,yes,5,yes,n/a,Wind,,0%,0%,0%,25%,0%,0%,0%,n/a,n/a,no,yes,Concrete block out of plump,BW,2a,Updated construction and damage information
81dfbc17-51aa-4581-8c9f-a42e5eaa6a57,27.831942,-97.067889,Douglas Allen,9/15/2017,Hurricane,HH-091517-S0006-DA,CMMI-1266418,"b95a049c-bbae-44c0-89a2-dcb1e09ba929,7c91b928-6922-44be-add8-19cf45c73a26,eb67528b-a346-4bfa-b99b-63f2517522b3,7565602b-eba2-4ad7-8ac9-84b5fdf883f5,3be48d53-e716-4675-876c-0a2b4739f067",",,,,",https://web.fulcrumapp.com/photos/view?photos=b95a049c-bbae-44c0-89a2-dcb1e09ba929%2C7c91b928-6922-44be-add8-19cf45c73a26%2Ceb67528b-a346-4bfa-b99b-63f2517522b3%2C7565602b-eba2-4ad7-8ac9-84b5fdf883f5%2C3be48d53-e716-4675-876c-0a2b4739f067,3=Severe,,408,S 7th St,,Port Aransas,Nueces,TX,78373,US,408 S 7th St Port Aransas Nueces TX 78373 US,Single Family,,1,37,no,Gable,,Shingles,,Asphalt,,Wood,,Wood Frame,,Wood Siding,,no,,no,n/a,"Surge,Wind",,0%,0%,0%,100%,100%,100%,100%,n/a,n/a,no,no,"Lifted off foundation and set back down again. Maybe due to storm surge or high winds or both.
5' of storm surge reported here",BW,2a,Confirmed construction and damage information
