fulcrum_id,status,project,latitude,longitude,name_of_investigator,date,general_notes,assessment_type,sampling_method,overall_photos_front_left_right_back,overall_photos_front_left_right_back_caption,overall_photos_front_left_right_back_url,detailed_photos,detailed_photos_caption,detailed_photos_url,audio,audio_caption,audio_url,overall_damage_notes,hazards_present,wind_damage_rating,surge_damage_rating,rainwater_ingress_damage_rating,damage_indicator,degree_of_damage,attribute_notes,address_sub_thoroughfare,address_thoroughfare,address_suite,address_locality,address_sub_admin_area,address_admin_area,address_postal_code,address_country,address_full,occupancy,number_of_stories,understory_pct_of_building_footprint,first_floor_elevation_feet,year_built,roof_shape,roof_slope,front_elevation_orientation,structural_notes,building_type,foundation_type,wall_anchorage_type,wall_substrate,wall_cladding,soffit_type,fenestration_protection,fenestration_protection_type,large_door_present,large_door_opening_location,large_door_opening_type_,roof_system,r2wall_attachment,r2w_attachment_type,roof_substrate_type,roof_cover,secondary_water_barrier,overhang_length,parapet_height_inches,wind_damage_details,roof_structure_damage_,roof_substrate_damage,roof_cover_damage_,wall_structure_damage_,wall_substrate_damage_,building_envelope_damage_,_damaged_windows,_damaged_doors,location_of_damaged_fenestration,large_door_failure,soffit_damage,fascia_damage_,stories_with_damage,water_induced_damage_notes,percent_of_building_footprint_eroded,_damage_to_understory,maximum_scour_depth_inches,_piles_missing_or_collapsed,_piles_leaning_or_broken,cause_of_foundation_damage,reroof_year,retrofit_type_1,retrofit_1_year,retrofit_type_2,retrofit_2_year,data_librarians,qc_progress_code,qc_notes
f61fd2e6-99c7-4e66-8029-41b32b1f74fb,2,Hurricane Laura (2020),30.1759,-93.153792,David Roueche,2020-08-29,,On-site,"Unbiased,Within a cluster","b027fca7-3e9b-471f-9bff-5614feeffbc5,6c47bbfe-25ac-4ab3-8a64-63ef0fa1bab8,b7b6b3a9-b2d9-4457-8dec-4f277a98f68e,53d32b5d-3937-40a7-b75f-c02b99519e21",",,,",https://web.fulcrumapp.com/photos/view?photos=b027fca7-3e9b-471f-9bff-5614feeffbc5%2C6c47bbfe-25ac-4ab3-8a64-63ef0fa1bab8%2Cb7b6b3a9-b2d9-4457-8dec-4f277a98f68e%2C53d32b5d-3937-40a7-b75f-c02b99519e21,,,,,,,,Wind,2,,-1,2,2,,4518,Dunn St,,Lake Charles,Calcasieu,LA,70607,USA,4518 Dunn St Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Gable/Hip Combo,35,100,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco,Vinyl Siding (unknown)",Vinyl,None,,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,5,0,0,0,10,0,Back,None,10,25,1,,,,,,,,,,,,,"LMR,HZR",3,
09034443-221a-4e0a-a438-fdd0bab94ac2,1,Hurricane Laura (2020),30.17617,-93.15376,David Roueche,2020-08-29,,On-site,"Unbiased,Within a cluster","df72c110-a681-4af7-af69-573d43f8b3f8,6e77dd41-be21-4fd1-bbfc-1fee151812bb,2e353240-a4da-4da7-b23c-1a4ad436d836,ccacd485-72c0-4935-b89d-60511b41123b",",,,",https://web.fulcrumapp.com/photos/view?photos=df72c110-a681-4af7-af69-573d43f8b3f8%2C6e77dd41-be21-4fd1-bbfc-1fee151812bb%2C2e353240-a4da-4da7-b23c-1a4ad436d836%2Cccacd485-72c0-4935-b89d-60511b41123b,"15fab0c2-dcee-4a90-a397-5f0317fae96c,b9e4881a-9084-431f-9b9b-c4069df31c17,07ef25b0-5dfc-4a89-9487-aac1c1f890b8",",,",https://web.fulcrumapp.com/photos/view?photos=15fab0c2-dcee-4a90-a397-5f0317fae96c%2Cb9e4881a-9084-431f-9b9b-c4069df31c17%2C07ef25b0-5dfc-4a89-9487-aac1c1f890b8,,,,,Wind,1,,-1,,,,4514,Flatwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,4514 Flatwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Complex,30,100,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco,Vinyl Siding (unknown)",Vinyl,None,None,yes,Front,Single garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,7,0,0,0,0,0,,Front,3,10,1,,,,,,,,,,,,,LMR,3,
3078cdc9-7365-4014-b1d3-20eb0ce4c630,1,Hurricane Laura (2020),30.175738,-93.153368,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","72eec990-c49e-4a80-866a-9f244a41edf0,76760720-fd98-4fb8-b378-69439eca7c7d,b4cdee74-4054-4e59-911b-90d5e7a09200",",,",https://web.fulcrumapp.com/photos/view?photos=72eec990-c49e-4a80-866a-9f244a41edf0%2C76760720-fd98-4fb8-b378-69439eca7c7d%2Cb4cdee74-4054-4e59-911b-90d5e7a09200,,,,,,,,Wind,1,,-1,,,,3202,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3202 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2020,Gable/Hip Combo,39,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,2,0,0,0,0,0,,None,,0,1,,,,,,,,,,,,,HZR,3,
4f07a969-a2d4-4654-97bc-cea5f42a7478,1,Hurricane Laura (2020),30.175676,-93.153132,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","75775d10-83c3-4c22-8ca6-21cabe550708,598acafb-0174-4dcd-938f-c65af905bdbb,520f3189-f3ee-453c-a699-15f3275deff0",",,",https://web.fulcrumapp.com/photos/view?photos=75775d10-83c3-4c22-8ca6-21cabe550708%2C598acafb-0174-4dcd-938f-c65af905bdbb%2C520f3189-f3ee-453c-a699-15f3275deff0,,,,,,,,Wind,1,,-1,,,,3206,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3206 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Hip,40,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Right,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,1,0,0,0,0,0,,None,,0,1,,,,,,,,,,,,,HZR,3,
87ca273f-5a00-4af7-81ba-0c81210501f0,1,Hurricane Laura (2020),30.175671,-93.152907,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","4eea5b9c-2788-42af-906b-34d6ef6f112d,1516d02c-86bb-4e4e-9af2-cf8539eae1d9,9f9c0001-98ef-449a-bfe6-7b3a31320834",",,",https://web.fulcrumapp.com/photos/view?photos=4eea5b9c-2788-42af-906b-34d6ef6f112d%2C1516d02c-86bb-4e4e-9af2-cf8539eae1d9%2C9f9c0001-98ef-449a-bfe6-7b3a31320834,,,,,,,,Wind,1,,-1,,,,3210,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3210 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Gable/Hip Combo,39,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,Garage door blown in.,0,0,0,0,0,0,0,0,,Front,,0,1,,,,,,,,,,,,,HZR,3,
4225336b-27e5-46f9-8ee6-4467c21353ae,0,Hurricane Laura (2020),30.175639,-93.152709,Hadiah Rawajfih,2020-09-02,"In followup after Delta, looks like the garage door is slightly buckled. ",Remote,"Unbiased,Within a cluster","b670c32c-5318-44c6-9e46-2b35dfbc4b9b,bb8dfb7e-87f5-4146-95e7-ea25a4dd135e,d69798f2-5f9a-44bd-bc26-20556a18354e",",,",https://web.fulcrumapp.com/photos/view?photos=b670c32c-5318-44c6-9e46-2b35dfbc4b9b%2Cbb8dfb7e-87f5-4146-95e7-ea25a4dd135e%2Cd69798f2-5f9a-44bd-bc26-20556a18354e,,,,,,,,Wind,0,,-1,,,,3214,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3214 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2020,Gable/Hip Combo,38,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,0,0,0,0,0,0,,None,,0,,,,,,,,,,,,,,HZR,3,
c3bad487-0242-43d0-a950-9c35660f08d3,1,Hurricane Laura (2020),30.175616,-93.152489,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","4e58e2a5-2088-419b-997c-bca6250d566d,67f9fc26-3de6-4af1-a213-0ec76e89c1a8,0747f50e-2f11-4bc8-9c44-07f1bb89562e",",,",https://web.fulcrumapp.com/photos/view?photos=4e58e2a5-2088-419b-997c-bca6250d566d%2C67f9fc26-3de6-4af1-a213-0ec76e89c1a8%2C0747f50e-2f11-4bc8-9c44-07f1bb89562e,,,,,,,,Wind,1,,-1,,,,3218,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3218 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Gable/Hip Combo,34,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,7,0,0,0,0,0,,None,0,0,1,,,,,,,,,,,,,HZR,3,
7fe4e992-f556-4885-8052-482e2f23413a,3,Hurricane Laura (2020),30.175579,-93.152247,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","bf62ca79-b4e5-4b9e-9845-50a7dfcd2fcc,a3e2d76e-3982-4985-a147-c8fcfd36ca17,c4b3b7ab-5090-4d14-ac25-a8b21134d927",",,",https://web.fulcrumapp.com/photos/view?photos=bf62ca79-b4e5-4b9e-9845-50a7dfcd2fcc%2Ca3e2d76e-3982-4985-a147-c8fcfd36ca17%2Cc4b3b7ab-5090-4d14-ac25-a8b21134d927,"4f00ce5d-b19b-44a1-977f-afc9b52c25ed,bbeafde1-33b7-4550-8466-539750cc0a41",",",https://web.fulcrumapp.com/photos/view?photos=4f00ce5d-b19b-44a1-977f-afc9b52c25ed%2Cbbeafde1-33b7-4550-8466-539750cc0a41,,,,,Wind,3,,-1,,,,3222,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3222 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Gable/Hip Combo,39,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,Garage door blown out.,2,2,10,0,0,0,18,50,Front,Front,0,0,1,,,,,,,,,,,,,HZR,3,
3d60f0d7-2f2f-4cf2-9a08-ef17b7c43fa7,1,Hurricane Laura (2020),30.175486,-93.152038,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","fed502f7-0485-41ab-be63-7df9efa0c31e,55cce6b0-61b3-4897-a2a7-3c5e2abc408a,04086bea-6a11-4e9c-afa1-2d14d471f07d",",,",https://web.fulcrumapp.com/photos/view?photos=fed502f7-0485-41ab-be63-7df9efa0c31e%2C55cce6b0-61b3-4897-a2a7-3c5e2abc408a%2C04086bea-6a11-4e9c-afa1-2d14d471f07d,,,,,,,,Wind,1,,-1,,,,3226,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3226 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2020,Hip,38,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Right,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,Garage door blown out.,0,0,2,0,0,0,0,0,Front,Right,0,0,1,,,,,,,,,,,,,HZR,3,
d0a3bd03-225f-48d3-9f7c-40446ed174d9,1,Hurricane Laura (2020),30.175509,-93.151829,Hadiah Rawajfih,2020-09-02,,Remote,"Unbiased,Within a cluster","79aa66c9-bcad-4045-a0d2-75290c78712c,d33eb41c-2935-46a5-ad5d-3a31add2051a,838a75ad-68ea-4f7a-89b9-a754b0ff6b6d",",,",https://web.fulcrumapp.com/photos/view?photos=79aa66c9-bcad-4045-a0d2-75290c78712c%2Cd33eb41c-2935-46a5-ad5d-3a31add2051a%2C838a75ad-68ea-4f7a-89b9-a754b0ff6b6d,,,,,,,,Wind,1,,-1,,,,3230,Finwood Dr,,Lake Charles,Calcasieu,LA,70607,USA,3230 Finwood Dr Lake Charles Calcasieu LA 70607 USA,"Residential,Single family",1,,0,2019,Gable/Hip Combo,43,0,,W1,Slab-on-grade,Unknown,"""Wood, sheathing (continuous)""","Brick,Stucco",Vinyl,None,None,yes,Front,Double garage door (unknown),"""Wood, rafter""",Metal ties,H2.5 or equivalent,Plywood/OSB,Asphalt shingles (laminated),None,12,,,0,0,2,0,0,0,0,0,,None,0,0,1,,,,,,,,,,,,,"HZR,LMR, MKM",3,No view of back available.
